,Вакансия,link,salary_min,salary_max,salary_cur,web-site,keyword
0,Программист-разработчик python (midle),https://www.hh.ruhttps://hh.ru/vacancy/37674249?query=Python,100000.0,180000.0,руб.,www.hh.ru,Python
1,Frontend-разработчик midle (React.js \ ExtJS),https://www.hh.ruhttps://hh.ru/vacancy/37328608?query=Python,100000.0,200000.0,руб.,www.hh.ru,Python
2,"Senior Software Engineer, Database Engineering (Cube.js Core)",https://www.hh.ruhttps://hh.ru/vacancy/36976348?query=Python,4000.0,, USD,www.hh.ru,Python
3,Старший специалист по тестированию ПО,https://www.hh.ruhttps://hh.ru/vacancy/37036702?query=Python,,150000.0,руб.,www.hh.ru,Python
4,Senior Golang Developer,https://www.hh.ruhttps://hh.ru/vacancy/37616656?query=Python,,,,www.hh.ru,Python
5,Python Data Scientist,https://www.hh.ruhttps://hh.ru/vacancy/37521387?query=Python,150000.0,,руб.,www.hh.ru,Python
6,Программист на Python / С++,https://www.hh.ruhttps://hh.ru/vacancy/37673701?query=Python,140000.0,180000.0,руб.,www.hh.ru,Python
7,Программист Python,https://www.hh.ruhttps://hh.ru/vacancy/37565167?query=Python,160000.0,200000.0,руб.,www.hh.ru,Python
8,Backend python/Django разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37587367?query=Python,120000.0,200000.0,руб.,www.hh.ru,Python
9,Junior Machine Learning Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37711158?query=Python,,140000.0,руб.,www.hh.ru,Python
10,Python разработчик/программист (Junior/Middle Quantitative Python Developer),https://www.hh.ruhttps://hh.ru/vacancy/37500874?query=Python,80000.0,,руб.,www.hh.ru,Python
11,Разработчик Python,https://www.hh.ruhttps://hh.ru/vacancy/37522527?query=Python,150000.0,170000.0,руб.,www.hh.ru,Python
12,Senior Data Scientist,https://www.hh.ruhttps://hh.ru/vacancy/37294434?query=Python,300000.0,,руб.,www.hh.ru,Python
13,Разработчик Python,https://www.hh.ruhttps://hh.ru/vacancy/37625285?query=Python,110000.0,,руб.,www.hh.ru,Python
14,Computer Vision Engineer (C++/Python),https://www.hh.ruhttps://hh.ru/vacancy/37313645?query=Python,170000.0,280000.0,руб.,www.hh.ru,Python
15,Data Scientist,https://www.hh.ruhttps://hh.ru/vacancy/37635578?query=Python,120000.0,180000.0,руб.,www.hh.ru,Python
16,Backend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37535012?query=Python,180000.0,350000.0,руб.,www.hh.ru,Python
17,Python разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37524910?query=Python,100000.0,120000.0,руб.,www.hh.ru,Python
18,Python разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37483469?query=Python,150000.0,220000.0,руб.,www.hh.ru,Python
19,Backend разработчик (Python),https://www.hh.ruhttps://hh.ru/vacancy/37619878?query=Python,130000.0,,руб.,www.hh.ru,Python
20,Разработчик Python / Django,https://www.hh.ruhttps://hh.ru/vacancy/36876631?query=Python,150000.0,200000.0,руб.,www.hh.ru,Python
21,Программист C++/Python,https://www.hh.ruhttps://hh.ru/vacancy/37184106?query=Python,140000.0,,руб.,www.hh.ru,Python
22,"Python-разработчик (Django, DRF)",https://www.hh.ruhttps://hh.ru/vacancy/37570004?query=Python,60000.0,150000.0,руб.,www.hh.ru,Python
23,Backend разработчик на python,https://www.hh.ruhttps://hh.ru/vacancy/37698711?query=Python,100000.0,,руб.,www.hh.ru,Python
24,Python middle developer,https://www.hh.ruhttps://hh.ru/vacancy/36449432?query=Python,120000.0,160000.0,руб.,www.hh.ru,Python
25,Разработчик (программист) Python (удаленно),https://www.hh.ruhttps://hh.ru/vacancy/36872662?query=Python,60000.0,80000.0,руб.,www.hh.ru,Python
26,Middle разработчик Python + Django,https://www.hh.ruhttps://hh.ru/vacancy/37484189?query=Python,120000.0,160000.0,руб.,www.hh.ru,Python
27,Python senior developer,https://www.hh.ruhttps://hh.ru/vacancy/37115745?query=Python,180000.0,250000.0,руб.,www.hh.ru,Python
28,"Backend Developer (python/go, Удалённо)",https://www.hh.ruhttps://hh.ru/vacancy/37403087?query=Python,160000.0,,руб.,www.hh.ru,Python
